# Generated: 2026-06-09T01:16:42+00:00 UTC
# Script:    parse_xy_coordinates.py
# Git:       f476b12 Add calcium-claims validation pipeline + XY ground-truth layer (DIRTY working tree)
# Python:    3.14.4
# Packages:  Pillow=12.0.0, PyPDF2=3.0.1, matplotlib=3.10.7, numpy=2.2.6, opencv-python=4.12.0.88, openpyxl=3.1.5, …
#
prefix,video_stem,side,landmark_raw,landmark_class,frame,x,y
WGD82,WGD82_C-oHTHT-pT-Zoom5.60,Left,poke location,poke,1,952.0,532.0
WGD82,WGD82_C-oHTHT-pT-Zoom5.60,Right,local signal,local,325,2244.0,508.0
WGD82,WGD82_C-oHTHT-pT-Zoom5.60,Right,tail signal,tail_response,454,2736.0,348.0
WGD83,WGD83_C-oHTHT-pT-Zoom5.60,Left,Head,head,1,16.0,520.0
WGD83,WGD83_C-oHTHT-pT-Zoom5.60,Left,Tail,tail,1,1432.0,448.0
WGD83,WGD83_C-oHTHT-pT-Zoom5.60,Right,Head,head,1,1640.0,464.0
WGD83,WGD83_C-oHTHT-pT-Zoom5.60,Right,Tail,tail,1,2904.0,424.0
WGD83,WGD83_C-oHTHT-pT-Zoom5.60,Left,poke location,poke,1,1060.0,516.0
WGD84,WGD84_C-oHTHT-pT-Zoom5.60,Left,Head,head,1,84.0,504.0
WGD84,WGD84_C-oHTHT-pT-Zoom5.60,Left,Tail,tail,1,1372.0,444.0
WGD84,WGD84_C-oHTHT-pT-Zoom5.60,Right,Head,head,1,1516.0,444.0
WGD84,WGD84_C-oHTHT-pT-Zoom5.60,Right,Tail,tail,1,2888.0,456.0
WGD84,WGD84_C-oHTHT-pT-Zoom5.60,Left,poke location,poke,1,972.0,524.0
WGD85,WGD85_C-oHTHT-pT-Zoom5.60,Left,Head,head,1,24.0,496.0
WGD85,WGD85_C-oHTHT-pT-Zoom5.60,Left,Tail,tail,1,1368.0,432.0
WGD85,WGD85_C-oHTHT-pT-Zoom5.60,Right,Head,head,1,1620.0,460.0
WGD85,WGD85_C-oHTHT-pT-Zoom5.60,Right,Tail,tail,1,2952.0,464.0
WGD85,WGD85_C-oHTHT-pT-Zoom5.60,Left,poke location,poke,1,1032.0,536.0
WGD86,WGD86_C-oHTHT-pT-Zoom5.60,Left,Head,head,1,88.0,548.0
WGD86,WGD86_C-oHTHT-pT-Zoom5.60,Left,Tail,tail,1,1392.0,436.0
WGD86,WGD86_C-oHTHT-pT-Zoom5.60,Right,Head,head,1,1624.0,432.0
WGD86,WGD86_C-oHTHT-pT-Zoom5.60,Right,Tail,tail,1,2832.0,392.0
WGD86,WGD86_C-oHTHT-pT-Zoom5.60,Left,poke location,poke,1,1032.0,584.0
